################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1444699598835195E+00 a       153     0     8     1    13
  1.5056370643801460E+00 a       154     0     8     1    14
 -4.7061053175900023E+00 a       155     0     8     1    15
  5.6753084960153179E+00 a       156     0     8     1    16
  1.2247415354575053E+00 a       157     0     8     1    17
  2.0889350854833397E+00 a       158     0     8     1    18
  5.8651631296911981E+00 a       159     0     8     1    19
  5.3818495907701118E+00 a       160     0     8     1    20
 -2.0126659428104916E+00 a       161     0     9     1     1
  1.5279211404436766E-01 a       162     0     9     1     2
  8.2260423009376793E-01 a       163     0     9     1     3
 -2.0805140058603047E-01 a       164     0     9     1     4
 -5.4312946833548492E-01 a       165     0     9     1     5
 -9.4588479763774758E-01 a       166     0     9     1     6
 -7.8396462203456210E-02 a       167     0     9     1     7
  6.3008505219215416E-01 a       168     0     9     1     8
  1.1078379341475166E+00 a       169     0     9     1     9
 -9.4338470018501527E-02 a       170     0     9     1    10
 -1.0172187200445550E-01 a       171     0     9     1    11
 -7.7378399585425905E-01 a       172     0     9     1    12
 -2.1226721835623127E-01 a       173     0     9     1    13
 -3.4523234880362985E-01 a       174     0     9     1    14
 -7.6536155128825523E-01 a       175     0     9     1    15
  1.2182690617489959E-01 a       176     0     9     1    16
 -4.7983210343908560E-02 a       177     0     9     1    17
  4.2138953776500193E-01 a       178     0     9     1    18
  1.3529108254773121E+00 a       179     0     9     1    19
  2.3598988622117673E-01 a       180     0     9     1    20
  3.8333348216605063E-02 a       181     0    10     1     1
  3.4316282537874665E-01 a       182     0    10     1     2
 -9.3714923184451113E-02 a       183     0    10     1     3
 -5.3668232234228919E-01 a       184     0    10     1     4
  3.6889608402761470E-01 a       185     0    10     1     5
 -7.2404871048068431E-01 a       186     0    10     1     6
 -4.3575189560418831E-01 a       187     0    10     1     7
  4.6074274337737314E-01 a       188     0    10     1     8
  4.3202166657554020E-01 a       189     0    10     1     9
  1.6317226565749805E-02 a       190     0    10     1    10
 -7.5574294257912927E-02 a       191     0    10     1    11
  4.9945743494283990E-01 a       192     0    10     1    12
 -1.1352222512844554E-01 a       193     0    10     1    13
 -1.9777817390522450E+00 a       194     0    10     1    14
  2.6292988973583082E-02 a       195     0    10     1    15
 -4.2581301636045607E-02 a       196     0    10     1    16
 -3.5607470792425733E-01 a       197     0    10     1    17
  1.1355833235038983E-01 a       198     0    10     1    18
  7.6314565274659532E-02 a       199     0    10     1    19
 -4.6398860540085107E-01 a       200     0    10     1    20
 -2.8748167626154963E-01 a       201     0    11     1     1
 -1.8824180918705220E+00 a       202     0    11     1     2
 -3.5146937412121049E-01 a       203     0    11     1     3
  3.5924821571652626E-01 a       204     0    11     1     4
 -8.5274519157580997E-01 a       205     0    11     1     5
  3.0625019521556349E+00 a       206     0    11     1     6
  8.6522602011030758E-01 a       207     0    11     1     7
 -1.1937692244466062E-01 a       208     0    11     1     8
 -2.7158049552991259E-01 a       209     0    11     1     9
 -1.1959561471066709E+00 a       210     0    11     1    10
 -3.6185391999100719E-01 a       211     0    11     1    11
 -2.0257603569830058E+00 a       212     0    11     1    12
  1.3159061963425331E+00 a       213     0    11     1    13
  2.8343960797510168E+00 a       214     0    11     1    14
 -3.5538032330935443E-01 a       215     0    11     1    15
  2.4777809456021513E-01 a       216     0    11     1    16
  1.4155647406384204E+00 a       217     0    11     1    17
  1.2146105693153189E-01 a       218     0    11     1    18
  1.1363632569459146E+00 a       219     0    11     1    19
  1.8710156450498903E+00 a       220     0    11     1    20
  5.5785481557388150E-01 a       221     0    12     1     1
  8.9923651938556493E-01 a       222     0    12     1     2
 -5.2458772403919336E-02 a       223     0    12     1     3
 -1.0406957549150302E+00 a       224     0    12     1     4
 -2.9474960531264044E-01 a       225     0    12     1     5
  5.7180737380945990E-01 a       226     0    12     1     6
  3.3480059950385788E-01 a       227     0    12     1     7
 -1.1815262095466691E-01 a       228     0    12     1     8
  1.4132982261994942E-02 a       229     0    12     1     9
  1.1445875075399883E+00 a       230     0    12     1    10
