################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5966765152272703E-01 a       196     0    10     1    16
  1.6712897131425236E-02 a       197     0    10     1    17
  7.9484449652345024E-01 a       198     0    10     1    18
 -4.6583842985568813E-01 a       199     0    10     1    19
  5.6616437524030216E-01 a       200     0    10     1    20
  1.6892587690618768E+00 a       201     0    11     1     1
 -4.0216800069200997E-01 a       202     0    11     1     2
 -2.1263416239612907E+00 a       203     0    11     1     3
  1.1190784579459954E+00 a       204     0    11     1     4
  5.4329232228896380E+00 a       205     0    11     1     5
 -5.8114566858986116E-01 a       206     0    11     1     6
  2.5791412390352733E+00 a       207     0    11     1     7
  1.7510422338325411E+00 a       208     0    11     1     8
 -6.6101644887342326E-01 a       209     0    11     1     9
  1.2818420166083191E+00 a       210     0    11     1    10
  4.4028732336661509E+00 a       211     0    11     1    11
  8.5116627774900362E+00 a       212     0    11     1    12
  5.6678169038675943E+00 a       213     0    11     1    13
 -1.4543346463467031E+00 a       214     0    11     1    14
  3.9558265457451216E+00 a       215     0    11     1    15
  9.7286320279228067E-01 a       216     0    11     1    16
 -4.5270793067385320E+00 a       217     0    11     1    17
  1.2674512633317128E+00 a       218     0    11     1    18
 -1.8611066365302248E-01 a       219     0    11     1    19
 -2.9902053395084044E-01 a       220     0    11     1    20
 -3.4908740397144346E-02 a       221     0    12     1     1
 -6.6752741790934067E-01 a       222     0    12     1     2
  5.0248750907995721E-01 a       223     0    12     1     3
 -6.6646978124716239E-01 a       224     0    12     1     4
 -4.3817373292218555E-02 a       225     0    12     1     5
 -3.7212072296314902E-01 a       226     0    12     1     6
  2.7191530719097184E-01 a       227     0    12     1     7
  1.1676297369506299E+00 a       228     0    12     1     8
 -2.9461034197164798E-01 a       229     0    12     1     9
  2.1964934851529591E-01 a       230     0    12     1    10
 -6.6033140665455625E-02 a       231     0    12     1    11
  5.9448489301530705E-01 a       232     0    12     1    12
 -1.0858751097283112E-01 a       233     0    12     1    13
 -3.8048980622697695E-02 a       234     0    12     1    14
 -6.4881858757381272E-01 a       235     0    12     1    15
 -2.2479327012265851E-01 a       236     0    12     1    16
 -8.3665013321884851E-01 a       237     0    12     1    17
 -6.1929319592306753E-01 a       238     0    12     1    18
 -6.8247606241574610E-02 a       239     0    12     1    19
 -7.3811126709094554E-01 a       240     0    12     1    20
  4.7944778065383159E-01 a       241     0    13     1     1
  2.0950570052245354E-01 a       242     0    13     1     2
  8.5826293401975751E-01 a       243     0    13     1     3
  7.8868107458276071E-01 a       244     0    13     1     4
  5.6052249691406397E-01 a       245     0    13     1     5
 -1.6993419110379929E-01 a       246     0    13     1     6
 -1.3154709458667577E-01 a       247     0    13     1     7
 -3.9050515620301857E-01 a       248     0    13     1     8
  7.0667766538881160E-01 a       249     0    13     1     9
 -8.7510767538536066E-02 a       250     0    13     1    10
  3.3375823397560045E-01 a       251     0    13     1    11
 -4.9966531017797683E-01 a       252     0    13     1    12
 -3.9465104710449750E-01 a       253     0    13     1    13
  5.3697985244272706E-01 a       254     0    13     1    14
  7.1889836324121892E-01 a       255     0    13     1    15
  6.7670641468713921E-01 a       256     0    13     1    16
  1.0595094507000820E+00 a       257     0    13     1    17
  9.2727931050364742E-01 a       258     0    13     1    18
  2.4141562163712930E-02 a       259     0    13     1    19
  4.1666127133950620E-01 a       260     0    13     1    20
  2.4858039561677839E-01 a       261     0    14     1     1
 -1.4531224885582059E-01 a       262     0    14     1     2
  1.7149112139817604E+00 a       263     0    14     1     3
  1.1563939933874115E-01 a       264     0    14     1     4
  7.6393783127798665E-01 a       265     0    14     1     5
 -3.7162955337852410E-02 a       266     0    14     1     6
 -7.4804384505724741E-02 a       267     0    14     1     7
  3.9718020475296927E-02 a       268     0    14     1     8
  7.3184924347039526E-01 a       269     0    14     1     9
  1.4692475743140165E-01 a       270     0    14     1    10
  4.2070017713409119E-01 a       271     0    14     1    11
 -6.5752095102477082E-01 a       272     0    14     1    12
 -5.0298450001292827E-01 a       273     0    14     1    13
  7.8376923431233503E-01 a       274     0    14     1    14
  6.7162484968963987E-01 a       275     0    14     1    15
  3.1176540427258914E-01 a       276     0    14     1    16
  3.2004718597761722E-01 a       277     0    14     1    17
  3.8866271764306182E-01 a       278     0    14     1    18
  1.7210839594738805E-01 a       279     0    14     1    19
  1.1867481929213626E-01 a       280     0    14     1    20
 -1.9308977362651075E-01 a       281     0    15     1     1
  1.5965372397056160E-01 a       282     0    15     1     2
  8.0146627407387830E-02 a       283     0    15     1     3
  5.9442882096104199E-01 a       284     0    15     1     4
 -1.2787882322322732E+00 a       285     0    15     1     5
  1.0316426176899913E+00 a       286     0    15     1     6
  2.9386531992854148E-01 a       287     0    15     1     7
  3.8433604442851155E-01 a       288     0    15     1     8
 -1.3060353300281882E-01 a       289     0    15     1     9
 -5.4803418576509166E-01 a       290     0    15     1    10
  3.4430259831453718E-04 a       291     0    15     1    11
  9.5793305127750542E-02 a       292     0    15     1    12
  3.1607745299522427E-01 a       293     0    15     1    13
 -6.9703897143274773E-01 a       294     0    15     1    14
  2.5575841357428325E-01 a       295     0    15     1    15
  3.5614871287494154E-01 a       296     0    15     1    16
  5.0554296295857315E-01 a       297     0    15     1    17
 -1.0713208124108811E+00 a       298     0    15     1    18
 -7.9039125009169198E-01 a       299     0    15     1    19
  1.5362288245542949E-01 a       300     0    15     1    20
  2.2248930671973732E-01 a       301     0    16     1     1
  3.0892054029452143E-01 a       302     0    16     1     2
  2.3159147440467800E-01 a       303     0    16     1     3
  3.3384986414628437E-01 a       304     0    16     1     4
  2.5900600511021349E-01 a       305     0    16     1     5
  1.7823070762059426E-01 a       306     0    16     1     6
 -3.3816893992074010E-01 a       307     0    16     1     7
  2.6924115695723849E-01 a       308     0    16     1     8
  4.4478058156494737E-01 a       309     0    16     1     9
  3.4266575593723841E-02 a       310     0    16     1    10
 -1.1797389613020280E-01 a       311     0    16     1    11
 -1.0227090516975332E-02 a       312     0    16     1    12
  2.1794568756317134E-01 a       313     0    16     1    13
  1.3655261801752142E-01 a       314     0    16     1    14
  4.1907405336118514E-01 a       315     0    16     1    15
 -3.3659793342297306E-01 a       316     0    16     1    16
 -9.7119745298465010E-02 a       317     0    16     1    17
  4.9673168757834596E-01 a       318     0    16     1    18
  1.6103670345576096E-01 a       319     0    16     1    19
 -3.0599385944719035E-02 a       320     0    16     1    20
  6.2605613642383717E-01 a       321     0    17     1     1
  9.1481778888960907E-01 a       322     0    17     1     2
  1.0349288732164137E+00 a       323     0    17     1     3
  1.0003243254638743E+00 a       324     0    17     1     4
  6.7631136728263541E-01 a       325     0    17     1     5
  1.1477400315472371E-01 a       326     0    17     1     6
 -1.9696962556668787E-01 a       327     0    17     1     7
  6.0615922139043121E-01 a       328     0    17     1     8
  8.4308202641115548E-01 a       329     0    17     1     9
  1.5286302771129806E-01 a       330     0    17     1    10
 -1.3290558651704404E-01 a       331     0    17     1    11
 -5.3577298886100255E-01 a       332     0    17     1    12
  8.7769084463918956E-01 a       333     0    17     1    13
  2.0053771501261058E-01 a       334     0    17     1    14
  7.8158534809437830E-01 a       335     0    17     1    15
 -3.3401843303986029E-01 a       336     0    17     1    16
 -9.8159160952040275E-02 a       337     0    17     1    17
  7.8096096851380237E-01 a       338     0    17     1    18
  1.6474092673950466E-01 a       339     0    17     1    19
 -4.2455895262689658E-01 a       340     0    17     1    20
  7.8870948487581671E-01 a       341     0    18     1     1
  1.1271808572904272E+00 a       342     0    18     1     2
  2.0949127698500822E+00 a       343     0    18     1     3
  1.2184701660922326E+00 a       344     0    18     1     4
  8.6476302265460914E-01 a       345     0    18     1     5
  1.7182153884664858E-01 a       346     0    18     1     6
 -1.1836544617272043E-01 a       347     0    18     1     7
  9.2852836087342439E-01 a       348     0    18     1     8
  1.1319722376958299E+00 a       349     0    18     1     9
  4.8756715952101037E-01 a       350     0    18     1    10
 -1.3751669577035686E-01 a       351     0    18     1    11
 -1.1810977785256425E+00 a       352     0    18     1    12
  1.5256315129907900E+00 a       353     0    18     1    13
  3.6619411861808399E-01 a       354     0    18     1    14
  7.5773289511201170E-01 a       355     0    18     1    15
 -1.6770476508054966E-01 a       356     0    18     1    16
  1.2176795454409400E-01 a       357     0    18     1    17
  6.1005105907620616E-01 a       358     0    18     1    18
  2.7593787992256791E-01 a       359     0    18     1    19
 -7.0588685278123098E-01 a       360     0    18     1    20
  1.1859150290384596E-01 a       361     0    19     1     1
  8.8587464534711863E-02 a       362     0    19     1     2
  1.0060799046515867E+00 a       363     0    19     1     3
  1.6068523811934798E-02 a       364     0    19     1     4
  1.2670342577927962E-01 a       365     0    19     1     5
 -1.0981482175312046E-01 a       366     0    19     1     6
  5.1460291641520839E-01 a       367     0    19     1     7
 -1.2291553934646011E-01 a       368     0    19     1     8
 -1.6204848739041564E-01 a       369     0    19     1     9
 -1.5994883076637628E-02 a       370     0    19     1    10
  4.0180676498505112E-03 a       371     0    19     1    11
 -3.5265354671272620E-01 a       372     0    19     1    12
 -1.4084205054552185E-01 a       373     0    19     1    13
 -2.0838256507739003E-01 a       374     0    19     1    14
 -8.2470799140891449E-01 a       375     0    19     1    15
  2.5860001718193909E-01 a       376     0    19     1    16
  1.1615863349042185E-01 a       377     0    19     1    17
 -2.3324576031166611E-02 a       378     0    19     1    18
  1.9751932021075660E-01 a       379     0    19     1    19
 -1.7958348221225520E-01 a       380     0    19     1    20
 -2.3247828827078001E-01 a       381     0    20     1     1
 -1.5349141632709443E-01 a       382     0    20     1     2
  9.8946167670198903E-01 a       383     0    20     1     3
 -4.4157785954452894E-01 a       384     0    20     1     4
 -1.0477958850940178E-01 a       385     0    20     1     5
 -9.8471076965724477E-02 a       386     0    20     1     6
  8.3809599279693692E-01 a       387     0    20     1     7
 -2.3661392052082988E-01 a       388     0    20     1     8
 -3.2693487274618355E-01 a       389     0    20     1     9
  1.3795068664772320E-01 a       390     0    20     1    10
  1.5944818456725260E-01 a       391     0    20     1    11
 -3.0769588638855916E-01 a       392     0    20     1    12
 -4.1913347559157038E-01 a       393     0    20     1    13
 -2.3472360803169462E-01 a       394     0    20     1    14
 -1.1895534824028069E+00 a       395     0    20     1    15
  6.0388310432427805E-01 a       396     0    20     1    16
  1.7956921118103666E-01 a       397     0    20     1    17
 -2.6770291770427690E-01 a       398     0    20     1    18
  1.5094532511644029E-01 a       399     0    20     1    19
  6.5180789776073444E-02 a       400     0    20     1    20
 -5.2809431585112321E-01 a       401     0    21     1     1
 -5.3291302976795540E-01 a       402     0    21     1     2
  1.3274878548287330E-01 a       403     0    21     1     3
 -8.4223047520499006E-01 a       404     0    21     1     4
 -4.3757170314144678E-01 a       405     0    21     1     5
 -4.2100095080048597E-02 a       406     0    21     1     6
  6.7133946346035778E-01 a       407     0    21     1     7
 -5.1589548724999068E-01 a       408     0    21     1     8
 -5.4457864991773419E-01 a       409     0    21     1     9
 -1.6243260384589616E-02 a       410     0    21     1    10
  4.6700377449521928E-02 a       411     0    21     1    11
  1.7256113981168308E-01 a       412     0    21     1    12
 -1.0141672553195422E+00 a       413     0    21     1    13
 -2.4029916047354996E-01 a       414     0    21     1    14
 -1.4266127854783937E+00 a       415     0    21     1    15
  6.8282903218638613E-01 a       416     0    21     1    16
  1.6701738966518478E-01 a       417     0    21     1    17
 -2.5539517828736197E-01 a       418     0    21     1    18
  1.3693603904959184E-02 a       419     0    21     1    19
  4.1229484862266119E-01 a       420     0    21     1    20
 -6.3289298212138956E-01 a       421     0    22     1     1
 -4.9562291079689696E-01 a       422     0    22     1     2
 -8.7252630541058940E-01 a       423     0    22     1     3
 -1.0800858241070921E+00 a       424     0    22     1     4
 -3.4163966735397450E-01 a       425     0    22     1     5
 -3.1100114037058801E-01 a       426     0    22     1     6
  6.1818993137974421E-01 a       427     0    22     1     7
 -6.4100998791820951E-01 a       428     0    22     1     8
 -5.1588712079559795E-01 a       429     0    22     1     9
 -1.4347284756511777E-01 a       430     0    22     1    10
  1.3564172602019825E-01 a       431     0    22     1    11
  5.1680039552673085E-01 a       432     0    22     1    12
 -1.3798313798732122E+00 a       433     0    22     1    13
 -2.1997002962659029E-01 a       434     0    22     1    14
 -1.3275104964756927E+00 a       435     0    22     1    15
  4.2450197415917207E-01 a       436     0    22     1    16
 -1.7229004120975297E-01 a       437     0    22     1    17
  2.1316985450194006E-01 a       438     0    22     1    18
 -1.4438364748608742E-01 a       439     0    22     1    19
  5.1314590631924462E-01 a       440     0    22     1    20
 -2.1614001045916922E-01 a       441     0    23     1     1
  3.0057363286672867E-01 a       442     0    23     1     2
 -3.8573345959985739E-02 a       443     0    23     1     3
  1.6277115146296414E-01 a       444     0    23     1     4
  2.9796762039000925E-02 a       445     0    23     1     5
 -2.8615024104733633E-01 a       446     0    23     1     6
  7.9067743857183337E-01 a       447     0    23     1     7
 -3.7245025019640543E-01 a       448     0    23     1     8
 -1.9065379477227473E-01 a       449     0    23     1     9
 -1.7604755493259966E-01 a       450     0    23     1    10
  4.7363533396371599E-01 a       451     0    23     1    11
 -3.1117979847608040E-01 a       452     0    23     1    12
  9.5853807082710130E-02 a       453     0    23     1    13
  6.5339469438972986E-01 a       454     0    23     1    14
 -2.4132302954090248E-01 a       455     0    23     1    15
 -4.2384602770726637E-01 a       456     0    23     1    16
  3.0173752819218941E-01 a       457     0    23     1    17
 -4.4082136956363227E-01 a       458     0    23     1    18
  4.9073802005390288E-01 a       459     0    23     1    19
 -1.4505606214334973E-01 a       460     0    23     1    20
  5.3147143408763131E-01 a       461     0    24     1     1
 -2.9837200313643841E-01 a       462     0    24     1     2
  3.8425953194094797E-01 a       463     0    24     1     3
 -6.8276415182158356E-01 a       464     0    24     1     4
  5.0064711372426096E-01 a       465     0    24     1     5
 -2.4908034974852075E-01 a       466     0    24     1     6
 -2.0989624940998333E-01 a       467     0    24     1     7
  9.0714334650694639E-01 a       468     0    24     1     8
  1.1015649254829996E-01 a       469     0    24     1     9
  2.1520432662362604E-01 a       470     0    24     1    10
 -4.0976035178194653E-01 a       471     0    24     1    11
